Timeline,Start time,Duration,Row,Instance number,#10 Adrian Samuels,#12 Geoff Sprouse,#13 Carson McDonald,#16 Luke Brown,#21 Noah Jones,#23 Greg Jones,#3 Dean Hogans,#32 Julen Iturbe,#35 Chris Eagan,#4 Kade Sebastian,#7 Wyatt Nausadis,#9 Matthew Casey,Shot Clock,Shot Contest,Shot Location,Shot Type,Ungrouped,Notes,Flags
shots tagged,2469.1336159586926,13.0,Shots,1,,,,,,,,Miss 3,,,,,21-11,Lightly Contested,Right Corner 3,Catch & Shoot,,,
shots tagged,2490.050705542693,13.0,Shots,2,,,,,,,,,,,Made 2,,21-11,Highly Contested,Close Shot Middle,Other,,,
shots tagged,2608.824292041693,13.0,Shots,3,,,,,,Miss 2,,,,,,,22+,Highly Contested,"Rim, Rim",Layup,,,
shots tagged,2626.9575300416927,13.0,Shots,4,,Miss 3,,,,,,,,,,,10-6,Highly Contested,Right Corner 3,Catch & Shoot,,,
shots tagged,2745.090167041693,13.0,Shots,5,,,,,,,,,,,Miss 2,,22+,Highly Contested,Rim,Layup,,,
shots tagged,2746.084350749693,13.0,Shots,6,,,,,,,,,,,Made 2,,22+,Wide Open,Rim,Putback,,,
shots tagged,2766.7180276666927,13.0,Shots,7,,,,,,,,,Miss 2,,,,21-11,Blocked,Rim,Hook,,,
shots tagged,2828.930191738693,13.0,Shots,8,,,,,,Miss 3,,,,,,,22+,Wide Open,Left Wing 3,Pullup,,,
shots tagged,2970.6052528100236,13.0,Shots,9,,,,Miss 2,,,,,,,,,5-0,Lightly Contested,Close Shot Left,Pullup,,,
shots tagged,3092.230553138024,13.0,Shots,10,,Miss 2,,,,,,,,,,,10-6,Highly Contested,Rim,Layup,,,
shots tagged,3192.5687508580236,13.0,Shots,11,,,,,,,Miss 2,,,,,,21-11,Highly Contested,Rim,Layup,,,
shots tagged,3282.6303023570235,13.0,Shots,12,,,,,,Made 2,,,,,,,21-11,Wide Open,Rim,Layup,,,
shots tagged,3693.7996769820234,13.0,Shots,13,,,,,,,Made 3,,,,,,10-6,Wide Open,Left Wing 3,Catch & Shoot,,,
shots tagged,3862.3385364790233,13.0,Shots,14,,,,,Miss 3,,,,,,,,22+,Wide Open,Right Wing 3,Pullup,,,
shots tagged,3977.469265983024,13.0,Shots,15,,,,,,,,,,,Made 2,,5-0,Highly Contested,Close Shot Middle,Fadeaway,,,
shots tagged,4153.977358859364,13.0,Shots,16,,,,,,,,,,Miss 3,,,21-11,Lightly Contested,Left Corner 3,Catch & Shoot,,,
shots tagged,4316.166503651364,13.0,Shots,17,,Miss 3,,,,,,,,,,,10-6,Lightly Contested,Right Wing 3,Catch & Shoot,,,
shots tagged,4375.574025276364,13.0,Shots,18,,Miss 3,,,,,,,,,,,10-6,Wide Open,Left Wing 3,Catch & Shoot,,,
shots tagged,4458.539985943364,13.0,Shots,19,,,,,,,,Made 2,,,,,21-11,Wide Open,Rim,Layup,,,
shots tagged,4481.708183317364,13.0,Shots,20,,,,,,,,,Miss 3,,,,21-11,Wide Open,Top of Key 3,Catch & Shoot,,,
shots tagged,4539.5266315123645,13.0,Shots,21,,,,,,Made 2,,,,,,,5-0,Wide Open,Rim,Layup,,,
shots tagged,4663.225070267364,13.0,Shots,22,,,,,,,,,Made 2,,,,10-6,Highly Contested,Rim,Layup,,,
shots tagged,4687.335553670364,13.0,Shots,23,,,,,,,,,,Made 3,,,21-11,Wide Open,Left Wing 3,Catch & Shoot,,,
shots tagged,4713.291391601363,13.0,Shots,24,,Made 2,,,,,,,,,,,10-6,Highly Contested,Close Shot Right,Fadeaway,,,
shots tagged,4865.999761671364,13.0,Shots,25,,,,,,,,,,,Miss 3,,5-0,Lightly Contested,Left Wing 3,Pullup,,,
shots tagged,4899.917528183363,13.0,Shots,26,,,,,,Made 2,,,,,,,5-0,Wide Open,Rim,Layup,,,
shots tagged,5008.403005933364,13.0,Shots,27,,Miss 2,,,,,,,,,,,21-11,Highly Contested,Left Wing 2,Step Back,,,
shots tagged,5027.775596684141,13.0,Shots,28,,,Made 2,,,,,,,,,,21-11,Wide Open,Rim,Layup,,,
shots tagged,5043.344100948363,13.0,Shots,29,,,,,,,,Made 2,,,,,21-11,Wide Open,Rim,Layup,,,
shots tagged,5103.603854961363,13.0,Shots,30,,,,,,,,,,,Made 3,,21-11,Wide Open,Top of Key 3,Catch & Shoot,,,
shots tagged,5127.344187031364,13.0,Shots,31,,,,,,,,Made 2,,,,,10-6,Highly Contested,Close Shot Right,Fadeaway,,,
shots tagged,5140.076610416,13.0,Shots,32,,,,,,,,,,Miss 3,,,22+,Lightly Contested,Right Corner 3,Catch & Shoot,,,
shots tagged,5259.945075292,13.0,Shots,33,,,,,,Miss 3,,,,,,,10-6,Wide Open,Right Corner 3,Catch & Shoot,,,
shots tagged,5287.821670708,13.0,Shots,34,,,,,,,,,,,,Miss 3,21-11,Wide Open,Right Corner 3,Catch & Shoot,,,
shots tagged,5347.351821417,13.0,Shots,35,,,,,,,,,,,,Miss 3,21-11,Lightly Contested,Left Wing 3,Catch & Shoot,,,
shots tagged,5352.602444499,13.0,Shots,36,,,,,,Made 3,,,,,,,21-11,Wide Open,Right Wing 3,Catch & Shoot,,,
shots tagged,5383.92197425,13.0,Shots,37,,,,,,,,Made 2,,,,,10-6,Highly Contested,Close Shot Right,Fadeaway,,,
shots tagged,5448.159490125,13.0,Shots,38,,,,,,,,,,Made 3,,,21-11,Lightly Contested,Left Wing 3,Catch & Shoot,,,
shots tagged,5513.062573584,13.0,Shots,39,,,,Miss 3,,,,,,,,,5-0,Wide Open,Right Corner 3,Catch & Shoot,,,
shots tagged,5578.058456625,13.0,Shots,40,,,,Miss 2,,,,,,,,,5-0,Highly Contested,Close Shot Left,Fadeaway,,,
shots tagged,5623.348415084,13.0,Shots,41,,,,,,,,,,,Made 3,,10-6,Lightly Contested,Left Wing 3,Catch & Shoot,,,
shots tagged,5668.682654291,13.0,Shots,42,,,,,,,,Made 3,,,,,21-11,Wide Open,Left Corner 3,Catch & Shoot,,,
shots tagged,5701.521420333,13.0,Shots,43,,,,,,,Miss 3,,,,,,5-0,Wide Open,Left Corner 3,Catch & Shoot,,,
shots tagged,5727.001816874,13.0,Shots,44,,Made 3,,,,,,,,,,,21-11,Wide Open,Left Wing 3,Catch & Shoot,,,
shots tagged,6165.240617001,13.0,Shots,45,,,,,,,Miss 3,,,,,,21-11,Lightly Contested,Right Wing 3,Catch & Shoot,,,
shots tagged,6187.647808375,13.0,Shots,46,,Made 3,,,,,,,,,,,21-11,Wide Open,Right Wing 3,Catch & Shoot,,,
shots tagged,6380.365474875,13.0,Shots,47,,,,,,,,,,Miss 3,,,21-11,Wide Open,Left Wing 3,Catch & Shoot,,,
shots tagged,6444.929381416,13.0,Shots,48,,,,,,,,,,,Miss 3,,21-11,Wide Open,Right Wing 3,Catch & Shoot,,,
shots tagged,6470.910617208,13.0,Shots,49,Made 2,,,,,,,,,,,,21-11,Highly Contested,Rim,Layup,,,