Timeline,Start time,Duration,Row,Instance number,Assist,Block,Contested,Dribble Move,Foul,Half Court Defense Type,Opponent Team,Period,Play Characteristics,Result,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Team,Ungrouped,Notes,Flags
AU Shots @VCU,66.936,8.0,American Shots,1,,,,,No Foul,,,,,Made 3,#4 Kade Sebastian,,,,21-11,,Wide Open,Top of Key 3,Catch & Shoot,,,,
AU Shots @VCU,157.547,8.0,American Shots,2,,,,,No Foul,,,,,Miss 3,#2 Madden Collins,,,,22+,,Highly Contested,Left Wing 3,Step Back,,,,
AU Shots @VCU,166.411,8.0,American Shots,3,,,,,No Foul,,,,,Made 3,#12 Geoff Sprouse,,,,21-11,,Wide Open,Top of Key 3,Catch & Shoot,,,,
AU Shots @VCU,230.441,8.0,American Shots,4,,,,,No Foul,,,,,Made 2,#32 Julen Iturbe,,,,21-11,,Wide Open,Rim,Layup,,,,
AU Shots @VCU,256.577,8.0,American Shots,5,,,,,No Foul,,,,,Made 3,#23 Greg Jones,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,
AU Shots @VCU,355.896,8.0,American Shots,6,,,,,No Foul,,,,,Miss 2,#2 Madden Collins,,,,5-0,,Highly Contested,Rim,Layup,,,,
AU Shots @VCU,367.901,8.0,American Shots,7,,,,,No Foul,,,,,Miss 3,#7 Wyatt Nausadis,,,,21-11,,Highly Contested,Left Wing 3,Pullup,,,,
AU Shots @VCU,583.8,8.0,American Shots,8,,,,,No Foul,,,,,Made 2,#2 Madden Collins,,,,22+,,Lightly Contested,Rim,Layup,,,,
AU Shots @VCU,684.745,8.0,American Shots,9,,,,,No Foul,,,,,Miss 3,#2 Madden Collins,,,,5-0,,Blocked,Left Wing 3,Step Back,,,,
AU Shots @VCU,708.364,8.0,American Shots,10,,,,,No Foul,,,,,Miss 2,#35 Chris Eagan,,,,21-11,,Highly Contested,Close Shot Left,Hook,,,,
AU Shots @VCU,711.603,8.0,American Shots,11,,,,,No Foul,,,,,Miss 2,#35 Chris Eagan,,,,21-11,,Lightly Contested,Close Shot Left,Floater,,,,
AU Shots @VCU,890.433,8.0,American Shots,12,,,,,No Foul,,,,,Miss 3,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Left Wing 3,Pullup,,,,
AU Shots @VCU,916.377,8.0,American Shots,13,,,,,No Foul,,,,,Miss 3,#3 Dean Hogans,,,,21-11,,Highly Contested,Left Wing 3,Pullup,,,,
AU Shots @VCU,1205.413,8.0,American Shots,14,,,,,No Foul,,,,,Made 3,#32 Julen Iturbe,,,,5-0,,Lightly Contested,Right Corner 3,Catch & Shoot,,,,
AU Shots @VCU,1262.324,8.0,American Shots,15,,,,,No Foul,,,,,Made 3,#12 Geoff Sprouse,,,,22+,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,
AU Shots @VCU,1340.126,8.0,American Shots,16,,,,,No Foul,,,,,Miss 2,#23 Greg Jones,,,,10-6,,Highly Contested,Close Shot Right,Fadeaway,,,,
AU Shots @VCU,1348.268,8.0,American Shots,17,,,,,No Foul,,,,,Miss 3,#32 Julen Iturbe,,,,22+,,Wide Open,Left Wing 3,Pullup,,,,
AU Shots @VCU,1395.852,8.0,American Shots,18,,,,,No Foul,,,,,Miss 3,#23 Greg Jones,,,,21-11,,Lightly Contested,Left Wing 3,Pullup,,,,
AU Shots @VCU,1398.43,8.0,American Shots,19,,,,,No Foul,,,,,Miss 2,#32 Julen Iturbe,,,,21-11,,Highly Contested,Rim,Putback,,,,
AU Shots @VCU,1449.385,8.0,American Shots,20,,,,,No Foul,,,,,Miss 3,#4 Kade Sebastian,,,,5-0,,Highly Contested,Right Corner 3,Step Back,,,,
AU Shots @VCU,1723.006,8.0,American Shots,21,,,,,No Foul,,,,,Made 3,#4 Kade Sebastian,,,,10-6,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,
AU Shots @VCU,1758.377,8.0,American Shots,22,,,,,No Foul,,,,,Miss 2,#2 Madden Collins,,,,21-11,,Lightly Contested,Close Shot Middle,Fadeaway,,,,
AU Shots @VCU,1970.373,8.0,American Shots,23,,,,,No Foul,,,,,Miss 3,#32 Julen Iturbe,,,,22+,,Lightly Contested,Right Wing 3,Pullup,,,,
AU Shots @VCU,1977.491,8.0,American Shots,24,,,,,Foul,,,,,Miss 2,#4 Kade Sebastian,,,,21-11,,Blocked,Rim,Layup,,,,
AU Shots @VCU,2052.775,8.0,American Shots,25,,,,,No Foul,,,,,Made 3,#32 Julen Iturbe,,,,22+,,Wide Open,Top of Key 3,Catch & Shoot,,,,
AU Shots @VCU,2090.371,8.0,American Shots,26,,,,,No Foul,,,,,Miss 2,#2 Madden Collins,,,,21-11,,Highly Contested,Rim,Layup,,,,
AU Shots @VCU,2288.376,8.0,American Shots,27,,,,,No Foul,,,,,Made 3,#32 Julen Iturbe,,,,5-0,,Highly Contested,Top of Key 3,Step Back,,,,
AU Shots @VCU,2322.901,8.0,American Shots,28,,,,,No Foul,,,,,Made 2,#7 Wyatt Nausadis,,,,22+,,Highly Contested,Rim,Layup,,,,
AU Shots @VCU,2390.968,8.0,American Shots,29,,,,,No Foul,,,,,Miss 3,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,
AU Shots @VCU,2459.21,8.0,American Shots,30,,,,,No Foul,,,,,Miss 2,#7 Wyatt Nausadis,,,,5-0,,Highly Contested,Close Shot Left,Fadeaway,,,,
AU Shots @VCU,2590.769,8.0,American Shots,31,,,,,No Foul,,,,,Miss 2,#23 Greg Jones,,,,21-11,,Highly Contested,Close Shot Middle,Fadeaway,,,,
AU Shots @VCU,2683.542,8.0,American Shots,32,,,,,Foul,,,,,Miss 2,#23 Greg Jones,,,,5-0,,Highly Contested,Rim,Layup,,,,
AU Shots @VCU,2785.771,8.0,American Shots,33,,,,,No Foul,,,,,Made 2,#32 Julen Iturbe,,,,5-0,,Wide Open,Rim,Layup,,,,
AU Shots @VCU,2877.369,8.0,American Shots,34,,,,,No Foul,,,,,Made 3,#12 Geoff Sprouse,,,,21-11,,Wide Open,Left Corner 3,Step Back,,,,
AU Shots @VCU,2991.1,8.0,American Shots,35,,,,,No Foul,,,,,Miss 2,#2 Madden Collins,,,,10-6,,Highly Contested,Rim,Layup,,,,
AU Shots @VCU,3019.691,8.0,American Shots,36,,,,,No Foul,,,,,Miss 2,#23 Greg Jones,,,,22+,,Blocked,Rim,Layup,,,,
AU Shots @VCU,3059.9,8.0,American Shots,37,,,,,Foul,,,,,Miss 2,#12 Geoff Sprouse,,,,5-0,,Highly Contested,Close Shot Right,Fadeaway,,,,
AU Shots @VCU,3142.592,8.0,American Shots,38,,,,,No Foul,,,,,Made 2,#35 Chris Eagan,,,,21-11,,Highly Contested,Close Shot Right,Hook,,,,
AU Shots @VCU,3161.036,8.0,American Shots,39,,,,,No Foul,,,,,Miss 2,#2 Madden Collins,,,,22+,,Blocked,Rim,Layup,,,,
AU Shots @VCU,3194.715,8.0,American Shots,40,,,,,No Foul,,,,,Miss 2,#4 Kade Sebastian,,,,21-11,,Highly Contested,Rim,Layup,,,,
AU Shots @VCU,3580.824,8.0,American Shots,41,,,,,No Foul,,,,,Miss 3,#23 Greg Jones,,,,10-6,,Highly Contested,Right Wing 3,Catch & Shoot,,,,
AU Shots @VCU,3599.998,8.0,American Shots,42,,,,,No Foul,,,,,Miss 3,#7 Wyatt Nausadis,,,,22+,,Highly Contested,Right Wing 3,Pullup,,,,
AU Shots @VCU,3649.308,8.0,American Shots,43,,,,,Foul,,,,,Made 2,#23 Greg Jones,,,,22+,,Highly Contested,Close Shot Middle,Floater,,,,
AU Shots @VCU,3729.655,8.0,American Shots,44,,,,,No Foul,,,,,Miss 2,#35 Chris Eagan,,,,21-11,,Lightly Contested,Close Shot Middle,Hook,,,,
AU Shots @VCU,3754.376,8.0,American Shots,45,,,,,No Foul,,,,,Miss 3,#2 Madden Collins,,,,21-11,,Highly Contested,Right Wing 3,Pullup,,,,
AU Shots @VCU,3821.997,8.0,American Shots,46,,,,,No Foul,,,,,Miss 3,#12 Geoff Sprouse,,,,10-6,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,
AU Shots @VCU,3862.734,8.0,American Shots,47,,,,,No Foul,,,,,Made 2,#7 Wyatt Nausadis,,,,5-0,,Highly Contested,Close Shot Left,Fadeaway,,,,
AU Shots @VCU,4068.797,8.0,American Shots,48,,,,,No Foul,,,,,Made 2,#2 Madden Collins,,,,22+,,Wide Open,Rim,Layup,,,,
AU Shots @VCU,4101.252,8.0,American Shots,49,,,,,No Foul,,,,,Made 3,#12 Geoff Sprouse,,,,22+,,Wide Open,Right Wing 3,Catch & Shoot,,,,
AU Shots @VCU,4244.315,8.0,American Shots,50,,,,,No Foul,,,,,Miss 3,#4 Kade Sebastian,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,
AU Shots @VCU,4351.227,8.0,American Shots,51,,,,,No Foul,,,,,Made 3,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,
AU Shots @VCU,4422.704,8.0,American Shots,52,,,,,No Foul,,,,,Miss 2,#23 Greg Jones,,,,10-6,,Highly Contested,Close Shot Middle,Floater,,,,
AU Shots @VCU,4505.752,8.0,American Shots,53,,,,,Foul,,,,,Miss 2,#23 Greg Jones,,,,5-0,,Blocked,Rim,Layup,,,,
AU Shots @VCU,4679.325,8.0,American Shots,54,,,,,No Foul,,,,,Made 3,#7 Wyatt Nausadis,,,,21-11,,Wide Open,Right Wing 3,Catch & Shoot,,,,
AU Shots @VCU,4708.405,8.0,American Shots,55,,,,,No Foul,,,,,Made 2,#4 Kade Sebastian,,,,22+,,Wide Open,Rim,Layup,,,,
AU Shots @VCU,4756.103,8.0,American Shots,56,,,,,No Foul,,,,,Miss 3,#12 Geoff Sprouse,,,,10-6,,Highly Contested,Top of Key 3,Catch & Shoot,,,,
AU Shots @VCU,5257.043,8.0,American Shots,57,,,,,No Foul,,,,,Made 3,#7 Wyatt Nausadis,,,,5-0,,Highly Contested,Right Wing 3,Step Back,,,,
AU Shots @VCU,5355.85,8.0,American Shots,58,,,,,No Foul,,,,,Made 2,#3 Dean Hogans,,,,5-0,,Lightly Contested,Rim,Layup,,,,
AU Shots @VCU,5687.758,8.0,American Shots,59,,,,,No Foul,,,,,Miss 3,#7 Wyatt Nausadis,,,,5-0,,Highly Contested,Top of Key 3,Step Back,,,,
AU Shots @VCU,5690.361,8.0,American Shots,60,,,,,No Foul,,,,,Miss 2,#2 Madden Collins,,,,5-0,,Highly Contested,Rim,Layup,,,,
AU Shots @VCU,5715.361,8.0,American Shots,61,,,,,Foul,,,,,Miss 2,#7 Wyatt Nausadis,,,,22+,,Blocked,Rim,Layup,,,,
AU Shots @VCU,5877.96,8.0,American Shots,62,,,,,No Foul,,,,,Miss 2,#23 Greg Jones,,,,21-11,,Highly Contested,Close Shot Middle,Floater,,,,
AU Shots @VCU,5899.269,8.0,American Shots,63,,,,,No Foul,,,,,Made 3,#12 Geoff Sprouse,,,,22+,,Lightly Contested,Right Wing 3,Pullup,,,,
AU Shots @VCU,5968.826,8.0,American Shots,64,,,,,No Foul,,,,,Miss 2,#16 Luke Brown,,,,21-11,,Wide Open,Close Shot Right,Fadeaway,,,,
AU Shots @VCU,6012.471,8.0,American Shots,65,,,,,No Foul,,,,,Miss 3,#2 Madden Collins,,,,22+,,Highly Contested,Left Wing 3,Pullup,,,,
AU Shots @VCU,6046.836,8.0,American Shots,66,,,,,Foul,,,,,Miss 2,#35 Chris Eagan,,,,21-11,,Blocked,Close Shot Middle,Hook,,,,
AU Shots @VCU,6114.583,8.0,American Shots,67,,,,,No Foul,,,,,Made 2,#2 Madden Collins,,,,21-11,,Wide Open,Rim,Layup,,,,