Timeline,Start time,Duration,Row,Instance number,Assist,Ball Handler,Block,Contested,Cutter,Cutter Defender,Dribble Move,Drive Direction,Foul,Foul Class,Foul Drawn,Half Court Defense Type,Handler Defender,Handler Defense,Handoff Screener,Inbound Type,Opponent Team,Pass,Period,Play Characteristics,Play Type,Rebound,Receiver,Receiver Defender,Result,Screen User,Screen User Defender,Screener,Screener Action,Screener Defender,Screener Defense,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Spot Up,Steal,Stolen From,Team,Turnover,Ungrouped,Notes,Flags
2025-12-31 American vs Loyola (MD),50.585,8.0,American Shots,1,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#33 Matt Mayock,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2025-12-31 American vs Loyola (MD),134.968,8.0,American Shots,2,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,5-0,,Highly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2025-12-31 American vs Loyola (MD),186.94,8.0,American Shots,3,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#33 Matt Mayock,,,,5-0,,Highly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2025-12-31 American vs Loyola (MD),234.827,8.0,American Shots,4,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#12 Geoff Sprouse,,,,22+,,Wide Open,Rim,Layup,,,,,,,,
2025-12-31 American vs Loyola (MD),317.0,8.0,American Shots,5,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,22+,,Lightly Contested,Rim,Layup,,,,,,,,
2025-12-31 American vs Loyola (MD),319.256,8.0,American Shots,6,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#35 Chris Eagan,,,,21-11,,Wide Open,Rim,Layup,,,,,,,,
2025-12-31 American vs Loyola (MD),386.969,8.0,American Shots,7,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#4 Kade Sebastian,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2025-12-31 American vs Loyola (MD),401.931,8.0,American Shots,8,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Blocked,Right Wing 3,Pullup,,,,,,,,
2025-12-31 American vs Loyola (MD),606.482,8.0,American Shots,9,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#35 Chris Eagan,,,,21-11,,Wide Open,Rim,Layup,,,,,,,,
2025-12-31 American vs Loyola (MD),636.714,8.0,American Shots,10,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 3,,,,,,,#4 Kade Sebastian,,,,21-11,,Lightly Contested,Right Corner 3,Catch & Shoot,,,,,,,,
2025-12-31 American vs Loyola (MD),697.601,8.0,American Shots,11,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#4 Kade Sebastian,,,,21-11,,Highly Contested,Rim,Floater,,,,,,,,
2025-12-31 American vs Loyola (MD),717.008,8.0,American Shots,12,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,22+,,Wide Open,Rim,Layup,,,,,,,,
2025-12-31 American vs Loyola (MD),768.104,8.0,American Shots,13,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2025-12-31 American vs Loyola (MD),800.969,8.0,American Shots,14,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#32 Julen Iturbe,,,,21-11,,Wide Open,Rim,Layup,,,,,,,,
2025-12-31 American vs Loyola (MD),833.132,8.0,American Shots,15,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,,,,,
2025-12-31 American vs Loyola (MD),1071.997,8.0,American Shots,16,,,,,,,,,Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#33 Matt Mayock,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2025-12-31 American vs Loyola (MD),1134.78,8.0,American Shots,17,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,22+,,Blocked,Rim,Layup,,,,,,,,
2025-12-31 American vs Loyola (MD),1141.113,8.0,American Shots,18,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 3,,,,,,,#23 Greg Jones,,,,21-11,,Highly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2025-12-31 American vs Loyola (MD),1226.218,8.0,American Shots,19,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#12 Geoff Sprouse,,,,5-0,,Highly Contested,Left Corner 2,Pullup,,,,,,,,
2025-12-31 American vs Loyola (MD),1256.553,8.0,American Shots,20,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2025-12-31 American vs Loyola (MD),1297.83,8.0,American Shots,21,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,10-6,,Wide Open,Close Shot Middle,Fadeaway,,,,,,,,
2025-12-31 American vs Loyola (MD),1397.965,8.0,American Shots,22,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 3,,,,,,,#4 Kade Sebastian,,,,5-0,,Lightly Contested,Right Corner 3,Catch & Shoot,,,,,,,,
2025-12-31 American vs Loyola (MD),1707.461,8.0,American Shots,23,,,,,,,,,Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#4 Kade Sebastian,,,,10-6,,Lightly Contested,Rim,Layup,,,,,,,,
2025-12-31 American vs Loyola (MD),1841.659,8.0,American Shots,24,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,10-6,,Highly Contested,Close Shot Right,Floater,,,,,,,,
2025-12-31 American vs Loyola (MD),2010.268,8.0,American Shots,25,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#35 Chris Eagan,,,,21-11,,Lightly Contested,Rim,Hook,,,,,,,,
2025-12-31 American vs Loyola (MD),2034.072,8.0,American Shots,26,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2025-12-31 American vs Loyola (MD),2229.589,8.0,American Shots,27,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,22+,,Lightly Contested,Rim,Layup,,,,,,,,
2025-12-31 American vs Loyola (MD),2270.698,8.0,American Shots,28,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2025-12-31 American vs Loyola (MD),2376.462,8.0,American Shots,29,,,,,,,,,Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#33 Matt Mayock,,,,5-0,,Highly Contested,Rim,Layup,,,,,,,,
2025-12-31 American vs Loyola (MD),2577.356,8.0,American Shots,30,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#33 Matt Mayock,,,,10-6,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2025-12-31 American vs Loyola (MD),2690.259,8.0,American Shots,31,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#32 Julen Iturbe,,,,N/A,,Wide Open,Rim,Layup,,,,,,,,
2025-12-31 American vs Loyola (MD),2732.638,8.0,American Shots,32,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Rim,Floater,,,,,,,,
2025-12-31 American vs Loyola (MD),2786.364,8.0,American Shots,33,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 3,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,,,,,
2025-12-31 American vs Loyola (MD),2847.354,8.0,American Shots,34,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#12 Geoff Sprouse,,,,22+,,Wide Open,Rim,Layup,,,,,,,,
2025-12-31 American vs Loyola (MD),2884.74,8.0,American Shots,35,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#33 Matt Mayock,,,,22+,,Wide Open,Rim,Layup,,,,,,,,
2025-12-31 American vs Loyola (MD),3052.272,8.0,American Shots,36,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,21-11,,Wide Open,Rim,Layup,,,,,,,,
2025-12-31 American vs Loyola (MD),3141.649,8.0,American Shots,37,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,5-0,,Highly Contested,Rim,Layup,,,,,,,,
2025-12-31 American vs Loyola (MD),3170.392,8.0,American Shots,38,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#7 Wyatt Nausadis,,,,22+,,Lightly Contested,Rim,Floater,,,,,,,,
2025-12-31 American vs Loyola (MD),3386.112,8.0,American Shots,39,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,21-11,,Wide Open,Rim,Layup,,,,,,,,
2025-12-31 American vs Loyola (MD),3439.872,8.0,American Shots,40,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#35 Chris Eagan,,,,5-0,,Lightly Contested,Rim,Floater,,,,,,,,
2025-12-31 American vs Loyola (MD),3461.164,8.0,American Shots,41,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,22+,,Highly Contested,Close Shot Right,Floater,,,,,,,,
2025-12-31 American vs Loyola (MD),3521.374,8.0,American Shots,42,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#23 Greg Jones,,,,10-6,,Lightly Contested,Right Wing 3,Pullup,,,,,,,,
2025-12-31 American vs Loyola (MD),3794.935,8.0,American Shots,43,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 3,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2025-12-31 American vs Loyola (MD),3839.752,8.0,American Shots,44,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#33 Matt Mayock,,,,10-6,,Lightly Contested,Close Shot Right,Catch & Shoot,,,,,,,,
2025-12-31 American vs Loyola (MD),3924.368,8.0,American Shots,45,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#16 Luke Brown,,,,10-6,,Wide Open,Close Shot Right,Floater,,,,,,,,
2025-12-31 American vs Loyola (MD),3973.314,8.0,American Shots,46,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,21-11,,Highly Contested,Rim,Floater,,,,,,,,
2025-12-31 American vs Loyola (MD),4053.199,8.0,American Shots,47,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#32 Julen Iturbe,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2025-12-31 American vs Loyola (MD),4309.012,8.0,American Shots,48,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 3,,,,,,,#32 Julen Iturbe,,,,21-11,,Wide Open,Top of Key 3,Catch & Shoot,,,,,,,,
2025-12-31 American vs Loyola (MD),4519.926,8.0,American Shots,49,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,22+,,Blocked,Rim,Layup,,,,,,,,
2025-12-31 American vs Loyola (MD),4524.426,8.0,American Shots,50,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2025-12-31 American vs Loyola (MD),4584.404,8.0,American Shots,51,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,22+,,Highly Contested,Rim,Floater,,,,,,,,
2025-12-31 American vs Loyola (MD),4585.774,8.0,American Shots,52,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#32 Julen Iturbe,,,,22+,,Wide Open,Rim,Putback,,,,,,,,
2025-12-31 American vs Loyola (MD),4624.987,8.0,American Shots,53,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#23 Greg Jones,,,,21-11,,Wide Open,Left Wing 3,Catch & Shoot,,,,,,,,
2025-12-31 American vs Loyola (MD),4873.397,8.0,American Shots,54,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#35 Chris Eagan,,,,5-0,,Highly Contested,Left Corner 2,Fadeaway,,,,,,,,
2025-12-31 American vs Loyola (MD),4954.509,8.0,American Shots,55,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,22+,,Lightly Contested,Rim,Layup,,,,,,,,
2025-12-31 American vs Loyola (MD),5021.418,8.0,American Shots,56,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#2 Madden Collins,,,,5-0,,Wide Open,Left Wing 3,Pullup,,,,,,,,
2025-12-31 American vs Loyola (MD),5125.135,8.0,American Shots,57,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#33 Matt Mayock,,,,10-6,,Lightly Contested,Top of Key 3,Pullup,,,,,,,,
2025-12-31 American vs Loyola (MD),5154.809,8.0,American Shots,58,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#4 Kade Sebastian,,,,21-11,,Wide Open,Rim,Layup,,,,,,,,
2025-12-31 American vs Loyola (MD),5373.564,8.0,American Shots,59,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 3,,,,,,,#32 Julen Iturbe,,,,5-0,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2025-12-31 American vs Loyola (MD),5422.731,8.0,American Shots,60,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#33 Matt Mayock,,,,5-0,,Wide Open,Right Corner 2,Pullup,,,,,,,,