Timeline,Start time,Duration,Row,Instance number,Assist,Ball Handler,Block,Contested,Cutter,Cutter Defender,Dribble Move,Drive Direction,Foul,Foul Class,Foul Drawn,Half Court Defense Type,Handler Defender,Handler Defense,Handoff Defender,Handoff Screener,Inbound Type,Opponent Team,Pass,Period,Play Characteristics,Play Type,Rebound,Receiver,Receiver Defender,Result,Screen User,Screen User Defender,Screener,Screener Action,Screener Defender,Screener Defense,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Spot Up,Steal,Stolen From,Team,Turnover,Ungrouped,Notes,Flags
2025-11-12 George Washington vs American,46.187,8.0,American Shots,1,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2025-11-12 George Washington vs American,78.938,8.0,American Shots,2,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,21-11,,Wide Open,Left Wing 3,Catch & Shoot,,,,,,,,
2025-11-12 George Washington vs American,110.72,8.0,American Shots,3,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Right Corner 3,Catch & Shoot,,,,,,,,
2025-11-12 George Washington vs American,134.363,8.0,American Shots,4,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#33 Matt Mayock,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2025-11-12 George Washington vs American,244.165,8.0,American Shots,5,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,5-0,,Lightly Contested,Close Shot Left,Pullup,,,,,,,,
2025-11-12 George Washington vs American,284.712,8.0,American Shots,6,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Wide Open,Left Wing 3,Catch & Shoot,,,,,,,,
2025-11-12 George Washington vs American,304.05,8.0,American Shots,7,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#23 Greg Jones,,,,22+,,Wide Open,Left Wing 3,Catch & Shoot,,,,,,,,
2025-11-12 George Washington vs American,569.591,8.0,American Shots,8,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#13 Carson McDonald,,,,21-11,,Lightly Contested,Rim,Floater,,,,,,,,
2025-11-12 George Washington vs American,582.454,8.0,American Shots,9,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#7 Wyatt Nausadis,,,,22+,,Wide Open,Rim,Layup,,,,,,,,
2025-11-12 George Washington vs American,638.017,8.0,American Shots,10,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#32 Julen Iturbe,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2025-11-12 George Washington vs American,658.371,8.0,American Shots,11,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,22+,,Wide Open,Rim,Layup,,,,,,,,
2025-11-12 George Washington vs American,702.848,8.0,American Shots,12,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Close Shot Middle,Floater,,,,,,,,
2025-11-12 George Washington vs American,761.975,8.0,American Shots,13,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#33 Matt Mayock,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2025-11-12 George Washington vs American,779.937,8.0,American Shots,14,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,22+,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2025-11-12 George Washington vs American,851.014,8.0,American Shots,15,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#4 Kade Sebastian,,,,10-6,,Wide Open,Rim,Layup,,,,,,,,
2025-11-12 George Washington vs American,1122.51,8.0,American Shots,16,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,5-0,,Wide Open,Close Shot Middle,Fadeaway,,,,,,,,
2025-11-12 George Washington vs American,1206.75,8.0,American Shots,17,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#35 Chris Eagan,,,,10-6,,Highly Contested,Close Shot Right,Fadeaway,,,,,,,,
2025-11-12 George Washington vs American,1224.471,8.0,American Shots,18,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#33 Matt Mayock,,,,22+,,Lightly Contested,Right Corner 3,Catch & Shoot,,,,,,,,
2025-11-12 George Washington vs American,1268.834,8.0,American Shots,19,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2025-11-12 George Washington vs American,1274.527,8.0,American Shots,20,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2025-11-12 George Washington vs American,1679.511,8.0,American Shots,21,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2025-11-12 George Washington vs American,1825.638,8.0,American Shots,22,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#33 Matt Mayock,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2025-11-12 George Washington vs American,1856.742,8.0,American Shots,23,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,21-11,,Highly Contested,Close Shot Left,Layup,,,,,,,,
2025-11-12 George Washington vs American,1862.138,8.0,American Shots,24,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,22+,,Highly Contested,Rim,Layup,,,,,,,,
2025-11-12 George Washington vs American,1885.896,8.0,American Shots,25,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,,,,,
2025-11-12 George Washington vs American,1944.384,8.0,American Shots,26,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,10-6,,Highly Contested,Close Shot Right,Layup,,,,,,,,
2025-11-12 George Washington vs American,2035.274,8.0,American Shots,27,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#13 Carson McDonald,,,,21-11,,Highly Contested,Close Shot Middle,Other,,,,,,,,
2025-11-12 George Washington vs American,2221.445,8.0,American Shots,28,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#7 Wyatt Nausadis,,,,22+,,Lightly Contested,Close Shot Middle,Floater,,,,,,,,
2025-11-12 George Washington vs American,2258.832,8.0,American Shots,29,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,21-11,,Highly Contested,Close Shot Right,Layup,,,,,,,,
2025-11-12 George Washington vs American,2289.748,8.0,American Shots,30,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2025-11-12 George Washington vs American,2420.573,8.0,American Shots,31,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#2 Madden Collins,,,,5-0,,Highly Contested,Right Wing 3,Pullup,,,,,,,,
2025-11-12 George Washington vs American,2426.545,8.0,American Shots,32,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#32 Julen Iturbe,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2025-11-12 George Washington vs American,2756.544,8.0,American Shots,33,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#7 Wyatt Nausadis,,,,22+,,Lightly Contested,Rim,Floater,,,,,,,,
2025-11-12 George Washington vs American,2791.314,8.0,American Shots,34,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#23 Greg Jones,,,,22+,,Wide Open,Left Corner 3,Catch & Shoot,,,,,,,,
2025-11-12 George Washington vs American,3058.951,8.0,American Shots,35,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#2 Madden Collins,,,,22+,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2025-11-12 George Washington vs American,3071.64,8.0,American Shots,36,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Highly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2025-11-12 George Washington vs American,3101.916,8.0,American Shots,37,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#13 Carson McDonald,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2025-11-12 George Washington vs American,3236.028,8.0,American Shots,38,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#35 Chris Eagan,,,,5-0,,Highly Contested,Close Shot Middle,Fadeaway,,,,,,,,
2025-11-12 George Washington vs American,3338.886,8.0,American Shots,39,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2025-11-12 George Washington vs American,3545.967,8.0,American Shots,40,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2025-11-12 George Washington vs American,3586.073,8.0,American Shots,41,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#23 Greg Jones,,,,10-6,,Wide Open,Left Wing 3,Pullup,,,,,,,,
2025-11-12 George Washington vs American,3638.456,8.0,American Shots,42,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,22+,,Wide Open,Rim,Layup,,,,,,,,
2025-11-12 George Washington vs American,3698.149,8.0,American Shots,43,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#35 Chris Eagan,,,,21-11,,Blocked,Rim,Hook,,,,,,,,
2025-11-12 George Washington vs American,3761.305,8.0,American Shots,44,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Wide Open,Close Shot Left,Layup,,,,,,,,
2025-11-12 George Washington vs American,3857.49,8.0,American Shots,45,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#4 Kade Sebastian,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2025-11-12 George Washington vs American,4185.876,8.0,American Shots,46,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,10-6,,Wide Open,Right Corner 3,Catch & Shoot,,,,,,,,
2025-11-12 George Washington vs American,4191.469,8.0,American Shots,47,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#13 Carson McDonald,,,,22+,,Wide Open,Rim,Dunk,,,,,,,,
2025-11-12 George Washington vs American,4310.757,8.0,American Shots,48,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2025-11-12 George Washington vs American,4312.934,8.0,American Shots,49,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Rim,Putback,,,,,,,,
2025-11-12 George Washington vs American,4383.193,8.0,American Shots,50,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#12 Geoff Sprouse,,,,21-11,,Wide Open,Close Shot Middle,Floater,,,,,,,,
2025-11-12 George Washington vs American,4403.057,8.0,American Shots,51,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,22+,,Highly Contested,Rim,Layup,,,,,,,,
2025-11-12 George Washington vs American,4539.471,8.0,American Shots,52,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,,,,,
2025-11-12 George Washington vs American,4545.831,8.0,American Shots,53,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,22+,,Lightly Contested,Rim,Layup,,,,,,,,
2025-11-12 George Washington vs American,4660.85,8.0,American Shots,54,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#33 Matt Mayock,,,,21-11,,Lightly Contested,Close Shot Middle,Fadeaway,,,,,,,,
2025-11-12 George Washington vs American,4946.672,8.0,American Shots,55,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#3 Dean Hogans,,,,22+,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2025-11-12 George Washington vs American,4975.868,8.0,American Shots,56,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#33 Matt Mayock,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2025-11-12 George Washington vs American,5057.996,8.0,American Shots,57,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#13 Carson McDonald,,,,21-11,,Wide Open,Close Shot Middle,Floater,,,,,,,,
2025-11-12 George Washington vs American,5106.886,8.0,American Shots,58,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#13 Carson McDonald,,,,21-11,,Blocked,Rim,Layup,,,,,,,,
2025-11-12 George Washington vs American,5202.441,8.0,American Shots,59,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,21-11,,Highly Contested,Close Shot Left,Floater,,,,,,,,
2025-11-12 George Washington vs American,5228.96,8.0,American Shots,60,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#33 Matt Mayock,,,,21-11,,Wide Open,Right Corner 3,Catch & Shoot,,,,,,,,
2025-11-12 George Washington vs American,5247.48,8.0,American Shots,61,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#7 Wyatt Nausadis,,,,22+,,Lightly Contested,Left Wing 3,Pullup,,,,,,,,
2025-11-12 George Washington vs American,5577.762,8.0,American Shots,62,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#3 Dean Hogans,,,,21-11,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,,,,,
2025-11-12 George Washington vs American,5599.242,8.0,American Shots,63,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#35 Chris Eagan,,,,21-11,,Highly Contested,Rim,Hook,,,,,,,,
2025-11-12 George Washington vs American,5699.401,8.0,American Shots,64,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#35 Chris Eagan,,,,21-11,,Lightly Contested,Close Shot Middle,Hook,,,,,,,,
2025-11-12 George Washington vs American,5745.204,8.0,American Shots,65,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#12 Geoff Sprouse,,,,5-0,,Highly Contested,Rim,Layup,,,,,,,,